loggingDate;pipelineName;pipelineFilename;transformName;transformCopyNr;transformStatusDescription;pipelineLogChannelId;transformLogChannelId;transformLoggingText;transformLinesRead;transformLinesWritten;transformLinesInput;transformLinesOutput;transformLinesUpdated;transformLinesRejected;transformErrors;transformStart;transformEnd;transformDuration
2026/09/15 10:36:13.755;p02_raw_exam;/srv/hospital_dw/hop/pipelines/his/p02_raw_exam.hpl;01_get_dataset_metadata;0;Finished;5b51bdcb-e16b-43dd-8d1c-9d3d3fd5be72;a06a97ec-6fac-4626-a949-516d38cbec08;2026/09/15 10:36:13 - 01_get_dataset_metadata.0 - Finished reading query, closing connection.
2026/09/15 10:36:13 - 01_get_dataset_metadata.0 - Finished processing (I=1, O=0, R=0, W=1, U=0, E=0);0;1;1;0;0;0;0;2026/09/15 10:36:13.544;2026/09/15 10:36:13.570;26
2026/09/15 10:36:13.755;p02_raw_exam;/srv/hospital_dw/hop/pipelines/his/p02_raw_exam.hpl;02_validate_dataset;0;Finished;5b51bdcb-e16b-43dd-8d1c-9d3d3fd5be72;f9b43258-57fc-4943-8304-e8a8833446b3;2026/09/15 10:36:13 - 02_validate_dataset.0 - Finished processing (I=0, O=0, R=1, W=1, U=0, E=0);1;1;0;0;0;0;0;2026/09/15 10:36:13.544;2026/09/15 10:36:13.588;44
2026/09/15 10:36:13.755;p02_raw_exam;/srv/hospital_dw/hop/pipelines/his/p02_raw_exam.hpl;Select dataset_id;0;Finished;5b51bdcb-e16b-43dd-8d1c-9d3d3fd5be72;fe3fae0e-6c06-4e4e-a9d0-ca6fe4bc1b1e;2026/09/15 10:36:13 - Select dataset_id.0 - Finished processing (I=0, O=0, R=1, W=1, U=0, E=0);1;1;0;0;0;0;0;2026/09/15 10:36:13.544;2026/09/15 10:36:13.590;47
2026/09/15 10:36:13.755;p02_raw_exam;/srv/hospital_dw/hop/pipelines/his/p02_raw_exam.hpl;04_get_watermark;0;Finished;5b51bdcb-e16b-43dd-8d1c-9d3d3fd5be72;f12ff9d7-48bb-49d1-ba7e-8993a691d33f;2026/09/15 10:36:13 - 04_get_watermark.0 - Finished reading query, closing connection.
2026/09/15 10:36:13 - 04_get_watermark.0 - Finished processing (I=1, O=0, R=1, W=1, U=0, E=0);1;1;1;0;0;0;0;2026/09/15 10:36:13.544;2026/09/15 10:36:13.749;205
